	"names"	"clusters"
"940"	"GANAB"	19
"941"	"GAPDH"	4
"942"	"GAS6"	10
"943"	"GAS8"	2
"944"	"GATA4"	18
"945"	"GATA5"	10
"946"	"GATA6"	19
"947"	"GATA6_AS1"	20
"948"	"GATC"	4
"949"	"GATM"	3
"950"	"GATM_AS1"	9
"951"	"GBAS"	8
"952"	"GCAT"	10
"953"	"GCC2"	19
"954"	"GCH1"	6
"955"	"GCLM"	6
"956"	"GCNT1"	19
"957"	"GDF11"	16
"958"	"GDF15"	6
"959"	"GDI1"	1
"960"	"GDPD2"	12
"961"	"GEM"	16
"962"	"GEMIN2"	16
"963"	"GGA2"	2
"964"	"GGH"	10
"965"	"GGT1"	2
"966"	"GHRL"	6
"967"	"GIN1"	19
"968"	"GINM1"	2
"969"	"GINS2"	4
"970"	"GIT2"	9
"971"	"GJA1"	8
"972"	"GJB1"	2
"973"	"GK"	9
"974"	"GLIPR2"	15
"975"	"GLIS3"	19
"976"	"GLMN"	19
"977"	"GLMP"	9
"978"	"GLO1"	10
"979"	"GLS"	15
"980"	"GLTP"	15
"981"	"GLTSCR1L"	4
"982"	"GLUD1"	13
"983"	"GLUL"	10
"984"	"GLYCTK"	10
"985"	"GMDS"	18
"986"	"GMFB"	19
"987"	"GMPS"	8
"988"	"GNAS"	4
"989"	"GNG11"	2
"990"	"GNG2"	6
"991"	"GNG4"	13
"992"	"GNG5"	18
"993"	"GNL1"	10
"994"	"GNPAT"	10
"995"	"GOLGA4"	10
"996"	"GOLGB1"	19
"997"	"GOLIM4"	6
"998"	"GOLM1"	9
"999"	"GOLPH3L"	1
"1000"	"GOSR1"	15
"1001"	"GPAA1"	10
"1002"	"GPAT3"	2
"1003"	"GPATCH2"	4
"1004"	"GPATCH8"	10
"1005"	"GPBAR1"	18
"1006"	"GPBP1"	10
"1007"	"GPC1"	10
