	"names"	"clusters"
"894"	"GRPEL1"	6
"895"	"GSN"	20
"896"	"GSPT1"	2
"897"	"GSTA1"	1
"898"	"GSTA2"	1
"899"	"GSTK1"	20
"900"	"GSTM3"	1
"901"	"GSTM4"	9
"902"	"GSTO2"	7
"903"	"GSTP1"	20
"904"	"GTF2F2"	7
"905"	"GTF2H5"	14
"906"	"GTF2IRD2B"	7
"907"	"GTSE1"	3
"908"	"GUCY1A2"	3
"909"	"GUCY1A3"	4
"910"	"GUCY1B3"	3
"911"	"GUK1"	20
"912"	"GULP1"	4
"913"	"H1F0"	2
"914"	"H1FX"	13
"915"	"H2AFJ"	3
"916"	"H2AFV"	13
"917"	"H2AFZ"	9
"918"	"HACD1"	11
"919"	"HACD3"	20
"920"	"HAND1"	3
"921"	"HAND2"	13
"922"	"HAPLN1"	14
"923"	"HARS"	6
"924"	"HBA1"	8
"925"	"HBA2"	8
"926"	"HBB"	17
"927"	"HBE1"	17
"928"	"HBG1"	20
"929"	"HBG2"	8
"930"	"HBP1"	7
"931"	"HBS1L"	14
"932"	"HBZ"	15
"933"	"HCFC1R1"	20
"934"	"HDGF"	2
"935"	"HEBP1"	7
"936"	"HEBP2"	6
"937"	"HELLS"	5
"938"	"HELZ"	1
"939"	"HES1"	7
"940"	"HES4"	13
"941"	"HES6"	6
"942"	"HEXB"	20
"943"	"HEY1"	4
"944"	"HHIP"	6
"945"	"HHIP_AS1"	6
"946"	"HIGD1A"	13
"947"	"HIPK2"	2
"948"	"HIST1H1A"	20
"949"	"HIST1H1D"	4
"950"	"HIST1H2AC"	18
"951"	"HIST1H2BG"	2
"952"	"HIST1H4C"	17
"953"	"HIST2H2BE"	18
"954"	"HIST3H2A"	2
"955"	"HJURP"	20
"956"	"HK1"	20
"957"	"HLA_A"	20
"958"	"HLA_B"	9
"959"	"HLA_C"	4
"960"	"HLA_DRA"	1
"961"	"HLA_DRB1"	1
"962"	"HLX"	4
"963"	"HM13"	14
"964"	"HMG20B"	20
"965"	"HMGA1"	13
"966"	"HMGA2"	11
"967"	"HMGB1"	14
"968"	"HMGB2"	3
"969"	"HMGB3"	6
"970"	"HMGCS1"	16
"971"	"HMGN2"	14
"972"	"HMMR"	20
"973"	"HMOX1"	2
"974"	"HMOX2"	20
"975"	"HN1"	20
"976"	"HNMT"	3
"977"	"HNRNPA1"	2
"978"	"HNRNPA1L2"	18
"979"	"HNRNPD"	6
"980"	"HNRNPH1"	7
"981"	"HNRNPH2"	1
"982"	"HNRNPH3"	1
"983"	"HNRNPL"	2
"984"	"HOMER2"	13
"985"	"HOPX"	4
"986"	"HOTAIRM1"	11
"987"	"HOXA10"	4
"988"	"HOXA11"	2
"989"	"HOXA3"	11
"990"	"HOXA4"	13
"991"	"HOXA5"	13
"992"	"HOXA7"	15
"993"	"HOXA9"	4
"994"	"HOXB2"	6
"995"	"HOXB3"	13
"996"	"HOXB4"	11
"997"	"HOXB5"	11
"998"	"HOXB6"	16
"999"	"HOXB7"	19
"1000"	"HOXB8"	6
"1001"	"HOXB_AS3"	4
"1002"	"HOXC4"	19
"1003"	"HOXC5"	10
"1004"	"HOXC6"	11
"1005"	"HOXC8"	11
"1006"	"HPCAL1"	20
