	"names"	"clusters"
"937"	"LAMA5"	1
"938"	"LAMB1"	20
"939"	"LAMC1"	5
"940"	"LAPTM4A"	5
"941"	"LBH"	1
"942"	"LCN1"	2
"943"	"LCOR"	1
"944"	"LDB2"	20
"945"	"LENG8"	5
"946"	"LGALS1"	4
"947"	"LGALS2"	17
"948"	"LGALS3"	17
"949"	"LGALS3BP"	7
"950"	"LGALS4"	9
"951"	"LGI4"	1
"952"	"LHFPL2"	13
"953"	"LIFR"	20
"954"	"LIG1"	7
"955"	"LIMA1"	7
"956"	"LIMCH1"	8
"957"	"LIMS2"	2
"958"	"LINC00152"	9
"959"	"LINC00682"	13
"960"	"LINC01082"	11
"961"	"LINC01116"	12
"962"	"LITAF"	20
"963"	"LIX1"	1
"964"	"LMNA"	15
"965"	"LMO4"	5
"966"	"LMOD1"	16
"967"	"LOXL2"	11
"968"	"LPAR1"	14
"969"	"LPAR6"	20
"970"	"LPCAT1"	7
"971"	"LPIN2"	7
"972"	"LPP"	15
"973"	"LRAT"	5
"974"	"LRBA"	7
"975"	"LRP1"	20
"976"	"LRP6"	13
"977"	"LRRC17"	11
"978"	"LRRC32"	5
"979"	"LRRC3B"	9
"980"	"LRRC75A"	16
"981"	"LRRN3"	17
"982"	"LSAMP"	7
"983"	"LSR"	1
"984"	"LTBP1"	16
"985"	"LTBP4"	11
"986"	"LUC7L2"	12
"987"	"LUM"	8
"988"	"LURAP1L"	20
"989"	"LXN"	11
"990"	"LY6E"	7
"991"	"LY6H"	17
"992"	"MAB21L1"	1
"993"	"MAB21L2"	20
"994"	"MAD2L1"	1
"995"	"MADCAM1"	13
"996"	"MAF"	12
"997"	"MAL2"	1
"998"	"MALSU1"	12
"999"	"MAMDC2"	1
"1000"	"MAN1A1"	13
"1001"	"MAOA"	1
"1002"	"MAP1B"	15
"1003"	"MAP1LC3A"	2
"1004"	"MAP2K2"	2
"1005"	"MAP2K6"	9
